,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex,underground_counts,adress
0,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301225189/,Москва,rent,flat,10,33,1,35.9,80900,0,Головинский,Кронштадтский бульвар,8к1,Водный стадион,,21,"Москва, Кронштадтский бульвар, 8к1"
1,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301681276/,Москва,rent,flat,5,19,1,37.4,83300,0,Можайский,Рябиновая ,3к3,Рабочий посёлок,,12,"Москва, Рябиновая , 3к3"
2,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301029990/,Москва,rent,flat,1,12,1,34.0,33000,0,Пресненский, Трехгорный Вал,1,Улица 1905 года,,12,"Москва,  Трехгорный Вал, 1"
3,ID 72875391,homeowner,https://www.cian.ru/rent/flat/283393001/,Москва,rent,flat,12,36,1,42.0,108000,0,Пресненский,Мукомольный проезд,2,Шелепиха,,17,"Москва, Мукомольный проезд, 2"
4,Neva Towers,official_representative,https://www.cian.ru/rent/flat/284181653/,Москва,rent,flat,27,78,1,61.7,290000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,,25,"Москва, 1-й Красногвардейский проезд, 22с2"
5,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/301262679/,Москва,rent,flat,10,14,1,51.0,45000,0,Марьино,Подольская ,27К2,Курьяново,,10,"Москва, Подольская , 27К2"
6,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301507562/,Москва,rent,flat,33,33,1,19.8,65000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Коломенская,,16,"Москва, 2-й Нагатинский проезд, 2/2к1"
7,Ма-Трёшка,real_estate_agent,https://www.cian.ru/rent/flat/245947706/,Москва,rent,flat,5,15,1,14.0,33999,0,Дмитровский,Дмитровское шоссе,107Ак5,Селигерская,,21,"Москва, Дмитровское шоссе, 107Ак5"
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/301567942/,Москва,rent,flat,3,10,1,39.0,70000,0,Нагатинский затон,Кленовый бульвар,26,Кленовый бульвар,,13,"Москва, Кленовый бульвар, 26"
9,Федор Ким,realtor,https://www.cian.ru/rent/flat/301791002/,Москва,rent,flat,16,19,1,39.0,42000,0,, Самуила Маршака,18,Рассказовка,,41,"Москва,  Самуила Маршака, 18"
10,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301599048/,Москва,rent,flat,1,6,1,35.0,33000,0,, Жемчужная,1к16,Рассказовка,,41,"Москва,  Жемчужная, 1к16"
11,Ма-Трёшка,real_estate_agent,https://www.cian.ru/rent/flat/229256372/,Москва,rent,flat,1,22,1,18.0,32999,0,, Бачуринская,13,Ольховая,,26,"Москва,  Бачуринская, 13"
12,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301542742/,Москва,rent,flat,4,6,1,33.0,130000,0,Таганский,Большой Факельный переулок,9/11,Марксистская,,6,"Москва, Большой Факельный переулок, 9/11"
13,ЦДВ Инвест,real_estate_agent,https://www.cian.ru/rent/flat/272419419/,Москва,rent,flat,3,9,1,34.7,26000,0,Хорошево-Мневники, Паршина,41,Щукинская,,5,"Москва,  Паршина, 41"
14,ID 83959743,homeowner,https://www.cian.ru/rent/flat/301601194/,Москва,rent,flat,5,17,1,44.0,39000,0,, Александры Монаховой,95к3,Бунинская аллея,,86,"Москва,  Александры Монаховой, 95к3"
15,BOYKOV Company,real_estate_agent,https://www.cian.ru/rent/flat/301305659/,Москва,rent,flat,1,9,1,50.0,120000,0,Даниловский,Хавская ,24,Шаболовская,,4,"Москва, Хавская , 24"
16,Андрей Чернов,realtor,https://www.cian.ru/rent/flat/301580705/,Москва,rent,flat,6,15,1,22.0,35000,0,, Василия Ощепкова,2,Коммунарка,,83,"Москва,  Василия Ощепкова, 2"
17,Оксана Волкова,realtor,https://www.cian.ru/rent/flat/255067481/,Москва,rent,flat,2,24,1,28.0,53000,0,Дмитровский,Дмитровское шоссе,107к2,Селигерская,,21,"Москва, Дмитровское шоссе, 107к2"
18,Ма-Трёшка,real_estate_agent,https://www.cian.ru/rent/flat/294949774/,Москва,rent,flat,7,18,1,18.0,46999,0,Останкинский,Березовая аллея,19к6,Ботанический сад,,41,"Москва, Березовая аллея, 19к6"
19,Игорь Юдочкин,realtor,https://www.cian.ru/rent/flat/267638733/,Москва,rent,flat,14,17,1,36.0,30000,0,Марьино,Луговой проезд,12К2,Марьино,,7,"Москва, Луговой проезд, 12К2"
20,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/295015512/,Москва,rent,flat,14,24,1,50.0,70000,0,Рязанский,2-й Грайвороновский проезд,38к1,Стахановская,,11,"Москва, 2-й Грайвороновский проезд, 38к1"
21,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/301216727/,Москва,rent,flat,1,5,1,72.43,160000,0,Басманный,Малый Трехсвятительский переулок,8/2С8,Китай-город,,4,"Москва, Малый Трехсвятительский переулок, 8/2С8"
22,Светлана Дмитриенко,realtor,https://www.cian.ru/rent/flat/301573813/,Москва,rent,flat,6,17,1,38.0,35000,0,Марьино,Луговой проезд,12К1,Марьино,,7,"Москва, Луговой проезд, 12К1"
23,ID 88729001,realtor,https://www.cian.ru/rent/flat/301053719/,Москва,rent,flat,8,25,1,40.0,55000,0,Соколиная гора,Вольная ,28/4к3,Соколиная гора,,8,"Москва, Вольная , 28/4к3"
24,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301618659/,Москва,rent,flat,6,12,1,40.0,50000,0,Строгино, Твардовского,15,Строгино,,11,"Москва,  Твардовского, 15"
25,Леонид Агаларов,realtor,https://www.cian.ru/rent/flat/298365317/,Москва,rent,flat,1,1,1,39.0,29990,0,Косино-Ухтомский,1-й Красковский проезд,38сБ,Лухмановская,,13,"Москва, 1-й Красковский проезд, 38сБ"
26,RENT-BAND,real_estate_agent,https://www.cian.ru/rent/flat/301076444/,Москва,rent,flat,11,13,1,40.0,90000,0,Покровское-Стрешнево,Волоколамское шоссе,71к1,Спартак,,13,"Москва, Волоколамское шоссе, 71к1"
27,ID 88729001,realtor,https://www.cian.ru/rent/flat/301411507/,Москва,rent,flat,7,9,1,40.0,50000,0,Хорошево-Мневники, Народного Ополчения,22К1,Народное Ополчение,,21,"Москва,  Народного Ополчения, 22К1"
28,ID 56774308,homeowner,https://www.cian.ru/rent/flat/275198157/,Москва,rent,flat,5,9,1,9.8,34000,0,Западное Дегунино,Дегунинская ,1К4,Селигерская,,21,"Москва, Дегунинская , 1К4"
29,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301231316/,Москва,rent,flat,3,9,1,27.8,30000,0,, Золотошвейная,3,Филатов Луг,,80,"Москва,  Золотошвейная, 3"
30,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301126109/,Москва,rent,flat,9,25,1,21.5,35000,0,Орехово-Борисово Южное,Ясеневая ,12к5,Зябликово,,8,"Москва, Ясеневая , 12к5"
31,MY HOME,real_estate_agent,https://www.cian.ru/rent/flat/301319995/,Москва,rent,flat,1,5,1,20.0,33000,0,Академический,Большая Черемушкинская ,40К2,Профсоюзная,,14,"Москва, Большая Черемушкинская , 40К2"
32,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301551366/,Москва,rent,flat,7,12,1,35.0,36000,0,Ярославский,Ярославское шоссе,8К2,Ботанический сад,,41,"Москва, Ярославское шоссе, 8К2"
33,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/301707950/,Москва,rent,flat,40,48,1,40.0,85000,0,Бутырский,Новодмитровская ,2к6,Дмитровская,,23,"Москва, Новодмитровская , 2к6"
34,Олимп плюс,real_estate_agent,https://www.cian.ru/rent/flat/301617374/,Москва,rent,flat,13,17,1,40.0,35000,0,Черемушки,Новочеремушкинская ,57,Новые Черёмушки,,11,"Москва, Новочеремушкинская , 57"
35,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300525424/,Москва,rent,flat,3,9,1,19.9,32900,0,, Усадебный Парк,3,Филатов Луг,,80,"Москва,  Усадебный Парк, 3"
36,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/299675184/,Москва,rent,flat,4,12,1,25.4,58000,0,Марьина роща,Складочная ,2,Савёловская,,3,"Москва, Складочная , 2"
37,Светлана Джавриева,realtor,https://www.cian.ru/rent/flat/251920052/,Москва,rent,flat,2,5,1,13.0,28000,0,Гольяново,Щелковское шоссе,57К2,Щёлковская,,44,"Москва, Щелковское шоссе, 57К2"
38,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301643179/,Москва,rent,flat,9,17,1,38.0,49900,0,Строгино, Исаковского,33К4,Строгино,,11,"Москва,  Исаковского, 33К4"
39,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301731220/,Москва,rent,flat,9,17,1,21.4,29700,0,,проспект Куприна,18к1,Бунинская аллея,,86,"Москва, проспект Куприна, 18к1"
40,Ирина Григорьева,realtor,https://www.cian.ru/rent/flat/301579080/,Москва,rent,flat,3,5,1,36.0,35000,0,Войковский, Космонавта Волкова,15К3,Красный Балтиец,,22,"Москва,  Космонавта Волкова, 15К3"
41,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301596016/,Москва,rent,flat,17,18,1,23.0,29700,0,, Александры Монаховой,85к2,Бунинская аллея,,86,"Москва,  Александры Монаховой, 85к2"
42,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300507704/,Москва,rent,flat,6,15,1,19.6,46400,0,, Красулинская,19,Филатов Луг,,80,"Москва,  Красулинская, 19"
43,ID 78976789,homeowner,https://www.cian.ru/rent/flat/263237663/,Москва,rent,flat,4,25,1,40.0,50000,0,Войковский,Нарвская ,1Ак4,Коптево,,13,"Москва, Нарвская , 1Ак4"
44,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300475826/,Москва,rent,flat,6,17,1,19.5,34800,0,, Александры Монаховой,85к1,Бунинская аллея,,86,"Москва,  Александры Монаховой, 85к1"
45,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300302005/,Москва,rent,flat,8,9,1,19.7,27700,0,Южное Бутово,Варшавское шоссе,282к3,Щербинка,,39,"Москва, Варшавское шоссе, 282к3"
46,Сергей Подпорин,realtor,https://www.cian.ru/rent/flat/301652624/,Москва,rent,flat,2,12,1,38.0,30000,0,Покровское-Стрешнево, Большая Набережная,5,Тушинская,,6,"Москва,  Большая Набережная, 5"
47,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300507706/,Москва,rent,flat,5,9,1,35.6,41900,0,,проспект Новосередневский,17к1,Филатов Луг,,80,"Москва, проспект Новосередневский, 17к1"
48,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301790326/,Москва,rent,flat,20,33,1,21.2,35000,0,Южное Бутово, Поляны,5Ак5,Улица Скобелевская,,11,"Москва,  Поляны, 5Ак5"
49,ID 176308,realtor,https://www.cian.ru/rent/flat/301546233/,Москва,rent,flat,4,9,1,33.0,33000,0,Зябликово,Шипиловская ,41К1,Шипиловская,,10,"Москва, Шипиловская , 41К1"
50,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301730578/,Москва,rent,flat,3,11,1,40.8,36800,0,, Лазурная,9,Коммунарка,,83,"Москва,  Лазурная, 9"
51,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301718295/,Москва,rent,flat,3,5,1,35.0,35000,0,Выхино-Жулебино,Сормовская ,17К2,Юго-Восточная,,11,"Москва, Сормовская , 17К2"
52,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/301658658/,Москва,rent,flat,5,5,1,35.0,68000,0,Хамовники,Малая Пироговская ,23,Спортивная,,2,"Москва, Малая Пироговская , 23"
53,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301137393/,Москва,rent,flat,12,17,1,23.4,32000,0,, Александры Монаховой,87к2,Бунинская аллея,,86,"Москва,  Александры Монаховой, 87к2"
54,RENT-BAND,real_estate_agent,https://www.cian.ru/rent/flat/301593386/,Москва,rent,flat,4,9,1,33.0,85000,0,Донской, Стасовой,14,Ленинский проспект,,1,"Москва,  Стасовой, 14"
55,MY HOME,real_estate_agent,https://www.cian.ru/rent/flat/301618099/,Москва,rent,flat,1,5,1,20.0,35000,0,Соколиная гора, Бориса Жигуленкова,6,Семёновская,,6,"Москва,  Бориса Жигуленкова, 6"
56,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301732182/,Москва,rent,flat,30,33,1,19.8,59700,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к2,Кленовый бульвар,,13,"Москва, 2-й Нагатинский проезд, 2/2к2"
57,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301087212/,Москва,rent,flat,19,33,1,20.0,50600,0,Метрогородок,Открытое шоссе,18Ак4,Бульвар Рокоссовского,,27,"Москва, Открытое шоссе, 18Ак4"
