,district,price_per_month
0,Академический,46000.0
1,Алексеевский,65000.0
2,Алтуфьевский,61000.0
3,Арбат,145000.0
4,Аэропорт,55000.0
5,Бабушкинский,48000.0
6,Басманный,80000.0
7,Беговой,110000.0
8,Бескудниковский,49000.0
9,Бибирево,43000.0
10,Бирюлево Восточное,40000.0
11,Бирюлево Западное,35000.0
12,Богородское,49000.0
13,Братеево,42500.0
14,Бутырский,66000.0
15,Вешняки,41000.0
16,Внуково,37500.0
17,Войковский,49800.0
18,Восточное Дегунино,45000.0
19,Восточное Измайлово,38000.0
20,Восточный,35000.0
21,Выхино-Жулебино,42500.0
22,Гагаринский,55000.0
23,Головинский,55000.0
24,Гольяново,46000.0
25,Даниловский,65000.0
26,Дмитровский,46000.0
27,Донской,52500.0
28,Дорогомилово,95000.0
29,Замоскворечье,76500.0
30,Западное Дегунино,50000.0
31,Зюзино,50000.0
32,Зябликово,45000.0
33,Ивановское,40000.0
34,Измайлово,46000.0
35,Капотня,35000.0
36,Коньково,50000.0
37,Коптево,38000.0
38,Косино-Ухтомский,40000.0
39,Котловка,43000.0
40,Красносельский,75000.0
41,Крылатское,42000.0
42,Крюково,32000.0
43,Кузьминки,41500.0
44,Кунцево,45000.0
45,Куркино,49000.0
46,Левобережный,51000.0
47,Лефортово,60500.0
48,Лианозово,45000.0
49,Ломоносовский,50000.0
50,Лосиноостровский,39000.0
51,Люблино,48000.0
52,Марфино,50000.0
53,Марьина роща,61500.0
54,Марьино,45000.0
55,Матушкино,34000.0
56,Метрогородок,45500.0
57,Мещанский,75500.0
58,Митино,45000.0
59,Можайский,50000.0
60,Молжаниновский,40000.0
61,Москворечье-Сабурово,44900.0
62,Нагатино-Садовники,54970.0
63,Нагатинский затон,68500.0
64,Нагорный,50000.0
65,Некрасовка,43000.0
66,Нижегородский,52000.0
67,Ново-Переделкино,38000.0
68,Новогиреево,45000.0
69,Новокосино,45000.0
70,Обручевский,60000.0
71,Орехово-Борисово Северное,50000.0
72,Орехово-Борисово Южное,47500.0
73,Останкинский,50000.0
74,Отрадное,45000.0
75,Очаково-Матвеевское,55000.0
76,Перово,40000.0
77,Печатники,45000.0
78,Покровское-Стрешнево,57000.0
79,Преображенское,62500.0
80,Пресненский,185000.0
81,Проспект Вернадского,58000.0
82,Раменки,80000.0
83,Ростокино,60000.0
84,Рязанский,51000.0
85,Савеловский,55000.0
86,Свиблово,45500.0
87,Северное Бутово,40000.0
88,Северное Измайлово,40000.0
89,Северное Медведково,41000.0
90,Северное Тушино,41500.0
91,Северный,44500.0
92,Силино,33500.0
93,Сокол,65000.0
94,Соколиная гора,50000.0
95,Сокольники,52500.0
96,Солнцево,52500.0
97,Старое Крюково,29000.0
98,Строгино,49950.0
99,Таганский,65000.0
100,Тверской,110000.0
101,Текстильщики,48500.0
102,Теплый Стан,50000.0
103,Тимирязевский,60000.0
104,Тропарево-Никулино,65000.0
105,Филевский парк,100000.0
106,Фили-Давыдково,62000.0
107,Хамовники,110000.0
108,Ховрино,45000.0
109,Хорошево-Мневники,63000.0
110,Хорошевский,79500.0
111,Царицыно,43000.0
112,Черемушки,50000.0
113,Чертаново Северное,41000.0
114,Чертаново Центральное,42500.0
115,Чертаново Южное,45000.0
116,Щукино,60000.0
117,Южное Бутово,38000.0
118,Южное Медведково,45000.0
119,Южное Тушино,42000.0
120,Южнопортовый,65500.0
121,Якиманка,280000.0
122,Ярославский,40000.0
123,Ясенево,45000.0
